Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,incr2015,incr2014,incr2013,incr3year,incr6year
TFSC,1347 Capital Corp.,9.85,58587800.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,4.79,1.44,,4.23,4.23
TFSCU,1347 Capital Corp.,10.1001,42218418.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,2.11,0.2,,1.9,1.9
PIH,"1347 Property Insurance Holdings, Inc.",6.9057,42704234.1927,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,1.06,-9.67,,-11.97,-11.97
FLWS,"1-800 FLOWERS.COM, Inc.",6.83,443006722.36,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,-7.38,52.52,41.85,97.83,97.83
FCTY,"1st Century Bancshares, Inc",7.6,78444935.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,5.18,-5.39,51.46,44.35,44.35
FCCY,1st Constitution Bancorp (NJ),12.71,95923183.44,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,21.74,0.36,22.49,50.48,50.48
SRCE,1st Source Corporation,29.58,771509908.26,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,-1.82,6.38,42.54,48.16,48.16
VNET,"21Vianet Group, Inc.",19.84,1014430389.76,51130564,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,21.01,-32.46,122.3,115.27,115.27
TWOU,"2U, Inc.",24.32,1108416053.76,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,51.65,39.34,,100.14,100.14
DGLD,3X Inverse Gold ETN Velocityshares,83.69,11382676.9,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,34.98,2.31,82.59,126.24,126.24
DSLV,3X Inverse Silver ETN Velocityshares,69.05,39146930.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dslv,14.28,50.91,81.79,173.1,173.1
UGLD,3X Long Gold ETN Velocityshares,8.31,8190485.58,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ugld,-40.18,-20.28,-65.94,-81.98,-81.98
USLV,3X Long Silver ETN Velocityshares,10.03,19683503.89,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/uslv,-54.83,-61.42,-80.71,-96.25,-96.25
JOBS,"51job, Inc.",27.41,645862433.02,23563022,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,-19.51,-8.37,50.06,12.49,12.49
SIXD,"6D Global Technologies, Inc.",2.9,226918805.6,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,-64.06,116.19,157.14,99.77,99.77
CAFD,8point3 Energy Partners LP,16.53,1173674283.87,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,-19.02,,,-19.02,-19.02
EGHT,8x8 Inc,10.43,931249100.04,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,31.31,-17.56,32.94,50.86,50.86
AVHI,"A V Homes, Inc.",12.12,270810734.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,-14.26,-23.7,23.78,-13.21,-13.21
AAON,"AAON, Inc.",20.52,1109985117.84,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,9.44,5.55,115.34,140.86,140.86
ABAX,"ABAXIS, Inc.",51.54,1170834180.0,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,-1.73,33.79,0.07,41.23,41.23
ABY,Abengoa Yield plc,17.65,1768834639.0,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,-29.64,-24.63,,-44.48,-44.48
ABGB,"Abengoa, S.A.",1.22,15268419.56,12515098,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,-89.89,-24.22,15.69,-89.28,-89.28
ABEO,Abeona Therapeutics Inc.,2.92,95579726.36,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,3.7,-75.71,-3.7,-75.11,-75.11
ABIL,Ability Inc.,9.63,101448438.75,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,0.41,1.23,,1.23,1.23
ABMD,"ABIOMED, Inc.",84.58,3587669528.02,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,135.04,24.24,120.9,636.98,636.98
AXAS,Abraxas Petroleum Corporation,0.9501,101039335.55,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,-63.45,-5.71,45.95,-52.25,-52.25
ACTG,Acacia Research Corporation,3.795,192544664.565,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,-72.43,22.87,-43.99,-81.97,-81.97
ACHC,"Acadia Healthcare Company, Inc.",62.45,4476944014.75,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,1.12,14.14,92.23,151.35,151.35
ACAD,ACADIA Pharmaceuticals Inc.,28.04,2829561965.0,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,6.83,29.09,404.19,611.58,611.58
ACST,"Acasti Pharma, Inc.",1.87,19937240.62,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,-53.64,-63.04,-53.7,-90.56,-90.56
AXDX,"Accelerate Diagnostics, Inc.",19.95,892542172.2,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,-8.75,40.42,173.35,406.84,406.84
XLRN,Acceleron Pharma Inc.,34.43,1144908881.05,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,18.52,-18.85,85.85,132.3,132.3
ANCX,Access National Corporation,19.58,206453987.08,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,23.84,19.77,9.32,64.2,64.2
